java -jar itc2021.jar ITC2021_Middle_1.xml ITC2021_Middle_1Soln.xml -start ITC2021_Middle_1Soln.xml -seed 1 -time 10800 -verbose 0 -fixOptTime 100

Instance....: Middle1
Algorithm...: ILS (rnaMax=50K, itersP=50, p0=1, pMax=20)
Other params: maxIters=1000K, seed=1, timeLimit=10800.00s

    /------------------------------------------------------------\
    |     Iter |   Gap(%) |         S* |         S' |       Time | 
    |----------|----------|------------|------------|------------|
Academic license - for non-commercial use only - expires 2021-06-11
    |        0 |        - |     5_6039 |     5_6039 |       0.55 | s0
    | ILS perturbation level=1                      |     285.13 | 
    |      50K |        - |     5_6039 |    11_6040 |     285.14 | p-1
    |      50K |        - |     5_6039 |     5_6039 |     285.33 | *
    |     100K |        - |     5_6039 |     5_6039 |     353.36 | 
    |     100K |        - |     5_6039 |     5_6039 |     353.38 | p-1
    | ILS perturbation level=1                      |     353.39 | 
    |     100K |        - |     5_6039 |    43_6214 |     353.39 | p-1
    |     100K |        - |    40_6213 |    40_6213 |     353.40 | *
    |     100K |        - |    40_6203 |    40_6203 |     353.41 | *
    |     100K |        - |    35_6203 |    35_6203 |     353.41 | *
    |     100K |        - |    35_6200 |    35_6200 |     353.41 | *
    |     100K |        - |    35_6196 |    35_6196 |     353.42 | *
    |     100K |        - |    34_6186 |    34_6186 |     353.79 | *
    |     101K |        - |    34_6184 |    34_6184 |     353.81 | *
    |     101K |        - |    32_6203 |    32_6203 |     387.96 | *
    |     104K |        - |    31_6228 |    31_6228 |     566.08 | *
    |     106K |        - |    31_6208 |    31_6208 |     616.10 | *
    |     108K |        - |    30_6266 |    30_6266 |     720.92 | *
    |     109K |        - |    30_6265 |    30_6265 |     720.96 | *
    |     109K |        - |    30_6263 |    30_6263 |     721.30 | *
    |     110K |        - |    29_6233 |    29_6233 |     727.27 | *
    |     110K |        - |    28_6268 |    28_6268 |     727.27 | *
    |     111K |        - |    28_6229 |    28_6229 |     727.71 | *
    |     113K |        - |    27_6228 |    27_6228 |     732.83 | *
    |     158K |        - |    20_6077 |    20_6077 |    1116.54 | *
    |     158K |        - |    20_6052 |    20_6052 |    1116.55 | *
    |     159K |        - |    20_6048 |    20_6048 |    1117.02 | *
    |     200K |        - |    20_6048 |    20_6048 |    1307.05 | 
    |     209K |        - |     5_6039 |    20_6048 |    1319.53 | p-1
    | ILS perturbation level=1                      |    1319.53 | 
    |     209K |        - |     5_6039 |    43_6214 |    1319.53 | p-1
    |     209K |        - |    43_6204 |    43_6204 |    1319.55 | *
    |     209K |        - |    40_6234 |    40_6234 |    1319.56 | *
    |     209K |        - |    40_6229 |    40_6229 |    1319.56 | *
    |     209K |        - |    40_6219 |    40_6219 |    1319.57 | *
    |     209K |        - |    40_6214 |    40_6214 |    1319.57 | *
    |     210K |        - |    36_6209 |    36_6209 |    1319.61 | *
    |     210K |        - |    19_6020 |    19_6020 |    1364.09 | *
    |     210K |        - |    19_6000 |    19_6000 |    1364.14 | *
    |     210K |        - |    18_6024 |    18_6024 |    1364.60 | *
    |     210K |        - |    16_6080 |    16_6080 |    1364.62 | *
    |     211K |        - |    14_6085 |    14_6085 |    1365.18 | *
    |     261K |        - |     5_6039 |    14_6085 |    1408.09 | p-1
    | ILS perturbation level=1                      |    1408.09 | 
    |     261K |        - |     5_6039 |    52_6095 |    1408.09 | p-1
    |     261K |        - |    41_6086 |    41_6086 |    1408.09 | *
    |     261K |        - |    35_5982 |    35_5982 |    1409.88 | *
    |     261K |        - |    20_5942 |    20_5942 |    1410.01 | *
    |     261K |        - |    19_5942 |    19_5942 |    1410.03 | *
    |     262K |        - |    18_5947 |    18_5947 |    1410.10 | *
    |     262K |        - |    12_5950 |    12_5950 |    1410.28 | *
    |     263K |        - |    12_5946 |    12_5946 |    1410.40 | *
    |     263K |        - |    12_5937 |    12_5937 |    1410.49 | *
    |     264K |        - |    10_5941 |    10_5941 |    1410.74 | *
    |     300K |        - |    10_5941 |    10_5941 |    1436.09 | 
    |     314K |        - |     5_6039 |    10_5941 |    1444.19 | p-1
    | ILS perturbation level=1                      |    1444.19 | 
    |     314K |        - |     5_6039 |    41_6073 |    1444.19 | p-1
    |     314K |        - |    40_6087 |    40_6087 |    1444.20 | *
    |     314K |        - |    39_6117 |    39_6117 |    1444.21 | *
    |     314K |        - |    36_6142 |    36_6142 |    1444.21 | *
    |     314K |        - |    31_6242 |    31_6242 |    1444.23 | *
    |     314K |        - |    31_6237 |    31_6237 |    1444.23 | *
    |     315K |        - |    31_6233 |    31_6233 |    1444.29 | *
    |     315K |        - |    24_6638 |    24_6638 |    1446.49 | *
    |     315K |        - |    23_6647 |    23_6647 |    1446.50 | *
    |     315K |        - |    23_6612 |    23_6612 |    1446.51 | *
    |     324K |        - |    21_6484 |    21_6484 |    1509.69 | *
    |     325K |        - |    21_6478 |    21_6478 |    1509.97 | *
    |     325K |        - |    21_6469 |    21_6469 |    1510.29 | *
    |     328K |        - |    19_6425 |    19_6425 |    1511.63 | *
